name	lat	lon	fcode	population
Trail	49.09983	-117.70223	PPL	7920
Brentwood Bay	48.58294	-123.45262	PPL	7581
Revelstoke	50.99712	-118.1953	PPL	7547
Kimberley	49.67071	-115.9776	PPL	7425
Mill Bay	48.65	-123.55	PPL	7200
Merritt	50.11225	-120.7942	PPL	7139
Gibsons	49.39539	-123.50555	PPL	6821
Hope	49.38299	-121.44144	PPL	6686
Nanoose Bay	49.27237	-124.19332	PPL	6540
Agassiz	49.23298	-121.76926	PPL	6300
Ganges	48.85342	-123.50032	PPL	6000
Creston	49.09987	-116.50211	PPL	5583
Osoyoos	49.03306	-119.45237	PPL	5556
Smithers	54.78036	-127.17428	PPL	5351
Armstrong	50.44979	-119.20235	PPL	5323
Fernie	49.49996	-115.06871	PPL	5249
Oliver	49.18306	-119.5524	PPL	5094
Metchosin	48.38293	-123.53591	PPL	5067
Spallumcheen	50.40146	-119.22039	PPL	5055
Peachland	49.76862	-119.74633	PPL	5006
Greektown	49.26412	-123.1757	PPL	4836
Gabriola	49.17043	-123.8499	PPL	4500
Vanderhoof	54.01657	-124.01982	PPL	4346
Bowen Island	49.3847	-123.33622	PPL	4256
Rossland	49.08313	-117.80224	PPL	4140
Grand Forks	49.03309	-118.4356	PPL	4049
Golden	51.29995	-116.9689	PPL	4038
Koksilah	48.76667	-123.68333	PPL	4000
Sparwood	49.73332	-114.88532	PPL	3990
Shawnigan Lake	48.65055	-123.64494	PPL	3908
Port Hardy	50.72086	-127.49231	PPL	3902
Lantzville	49.2454	-124.07547	PPL	3817
Cumberland	49.61634	-125.03613	PPL	3753
West End	49.2	-122.93333	PPL	3600
Aldergrove East	49.05614	-122.45457	PPL	3491
Fruitvale	49.11654	-117.55222	PPL	3491
Invermere	50.51666	-116.03538	PPL	3391
Yarrow	49.08207	-122.05034	PPL	3326
Mackenzie	55.33637	-123.09374	PPL	3262
Lake Cowichan	48.82495	-124.05461	PPL	3226
Bradner	49.1	-122.41667	PPL	3213
Ellison	49.93307	-119.36907	PPL	3094
Madeira Park	49.61967	-124.02319	PPL	3039
Chemainus	48.91633	-123.71937	PPL	3021
Houston	54.39976	-126.67008	PPL	2993
Enderby	50.5498	-119.15234	PPL	2964
Cedar	49.11633	-123.8527	PPL	2836
Princeton	49.45802	-120.51076	PPL	2828
Halfmoon Bay	49.51289	-123.9087	PPL	2800
Cowichan Bay	48.73366	-123.61739	PPL	2799
Maple Bay	48.81633	-123.61936	PPL	2640
Fort Nelson	58.80533	-122.7002	PPL	2611
Chetwynd	55.69988	-121.63627	PPL	2587
Elkford	50.01529	-114.92348	PPL	2585
Pemberton	50.31641	-122.80273	PPL	2574
Westridge	49.28333	-122.95	PPL	2521
Tofino	49.15314	-125.90744	PPL	2516
Chase	50.8165	-119.68571	PPL	2471
Tumbler Ridge	55.13027	-120.99415	PPL	2454
Langdale	49.43386	-123.4798	PPL	2407
Clearwater	51.64061	-120.02769	PPL	2388
Blind Bay	50.88311	-119.38569	PPL	2369
River Springs	49.28333	-122.76667	PPL	2325
Lillooet	50.6856	-121.942	PPL	2324
Okanagan Falls	49.35	-119.56667	PPL	2266
Port McNeill	50.59	-127.08638	PPL	2234
Anmore	49.31637	-122.85263	PPLA3	2210
Logan Lake	50.49225	-120.8149	PPL	2190
Bella Coola	52.37183	-126.7539	PPL	2163
Pemberton Heights	49.33056	-123.10833	PPL	2090
Saltair	48.94963	-123.76939	PPL	2069
Ucluelet	48.94153	-125.54635	PPL	2066
Lumby	50.24979	-118.96904	PPL	2063
Big Eddy	51	-118.21667	PPL	2000
100 Mile House	51.64982	-121.28594	PPL	1980
Roberts Creek	49.42359	-123.64778	PPL	1949
Harrison Hot Springs	49.29969	-121.78586	PPL	1905
Keremeos	49.19975	-119.8357	PPL	1791
Sicamous	50.83312	-118.98565	PPL	1786
Burns Lake	54.22972	-125.76084	PPL	1779
Barrière	51.18308	-120.1192	PPL	1765
Warfield	49.09563	-117.74533	PPL	1753
